dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
gas_turbine_co_nox,ftt_mlp,8.046746352558552,0.21312179803206097,6.52580887298363,-0.36742743341413747,0.07479620127187805,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_random_forest,8.075614265707687,0.06402172346933929,6.748727381465271,-0.34037665341577267,0.02307138371561178,5,17752,14542,4,5,2
gas_turbine_co_nox,random_forest,8.100323356313575,0.04558742818412753,6.72933729554565,-0.3434833895639661,0.0149654968132372,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_acp_xgboost,8.141774430099701,0.05289597881924813,6.761563141360459,-0.3900870467471001,0.015541272245316986,5,17752,14542,4,5,2
gas_turbine_co_nox,prism,8.163525581359863,0.09104140940876454,6.681024169921875,-0.39000293612480164,0.03824362308109988,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_acp_lightgbm,8.192448449052884,0.06389251192027887,6.76436538660618,-0.40409387266045604,0.020552392956666686,5,17752,14542,4,5,2
gas_turbine_co_nox,simple_mlp,8.213270950317384,0.09004795874091809,6.726893138885498,-0.40943923592567444,0.03846961029632382,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_acp_random_forest,8.254027079952383,0.070908123830284,6.821669886111404,-0.4320279377217194,0.01857506392298279,5,17752,14542,4,5,2
gas_turbine_co_nox,two_stage_mlp,8.29315242767334,0.09238866851524563,6.74857120513916,-0.46251095533370973,0.041560004454092185,5,17752,14542,4,5,2
gas_turbine_co_nox,cnn_mlp,8.33469317134277,0.09166611015708279,6.781727471201384,-0.45101384596565763,0.03993404494231377,5,17752,14542,4,5,2
hydraulic_systems,oracle_mlp,1.7691632747650146,0.24706370596366997,1.1317551851272583,0.9820406317710877,0.00451812640469251,5,1411,441,23,44,4
hydraulic_systems,xgboost,2.0879399746843754,0.3751337232689172,0.9372185221145417,0.9769237774228404,0.0016138650475836542,5,1411,441,23,44,4
hydraulic_systems,prism,2.0963537216186525,0.3347708683510281,1.0680667877197265,0.9812351703643799,0.0012631884213659117,5,1411,441,23,44,4
hydraulic_systems,lightgbm,2.18668636912622,0.2481103458220967,0.9603382494884334,0.9788980171960253,0.0015827584102629693,5,1411,441,23,44,4
hydraulic_systems,two_stage_mlp,2.1987763404846192,0.28365719723854144,1.2607133626937865,0.9777345180511474,0.0027517054157176865,5,1411,441,23,44,4
hydraulic_systems,prism_z_acp_xgboost,2.2829606321858122,0.5184465957502851,0.9374321670522526,0.9711748201494105,0.003712858815253132,5,1411,441,23,44,4
hydraulic_systems,simple_mlp,2.3259887218475344,0.3114237971266657,1.4055359363555908,0.9759294867515564,0.0017157594805550526,5,1411,441,23,44,4
hydraulic_systems,prism_z_lightgbm,2.4051637920440916,0.5131513992660448,1.0106901858499857,0.9706871037837832,0.003855643278762965,5,1411,441,23,44,4
hydraulic_systems,prism_z_xgboost,2.4108978353612383,0.5494235976245617,0.9951650867617531,0.9697091162590696,0.0036307319829150093,5,1411,441,23,44,4
hydraulic_systems,random_forest,2.452596961770511,0.2519068955757477,0.8800567966608005,0.9743068753185163,0.0017742600265822914,5,1411,441,23,44,4
hydraulic_systems,prism_z_acp_lightgbm,2.4746077171631233,0.2990571782863796,0.9051779868480267,0.9713584433934471,0.003827568143322535,5,1411,441,23,44,4
hydraulic_systems,prism_z_acp_random_forest,2.5263119029124756,0.4884856733349565,1.1880223691830918,0.9627288831379713,0.0045573257811959205,5,1411,441,23,44,4
hydraulic_systems,prism_z_random_forest,2.7060190288951746,0.39501440272842814,1.243298600082444,0.962594733344013,0.004417027418204077,5,1411,441,23,44,4
hydraulic_systems,ftt_mlp,3.2890821409743793,0.2717865003622673,1.7154182133672766,0.9293899369825509,0.008738228688107376,5,1411,441,23,44,4
hydraulic_systems,cnn_mlp,3.357745502709439,0.2957915220847605,2.133157555980266,0.9355391019736586,0.007236217049888203,5,1411,441,23,44,4
naval_propulsion,oracle_mlp,0.010237516090273856,0.0011749598451112713,0.008658547513186931,0.12296456098556519,0.14782925678466988,5,6630,2652,2,12,2
naval_propulsion,lightgbm,0.011109801035018296,0.0,0.009622549273250668,4.3589461373727545e-08,0.0,5,6630,2652,2,12,2
naval_propulsion,random_forest,0.011109816878876338,9.329169522507961e-09,0.009622752133583434,-2.9296515534182886e-06,2.0582867981781162e-06,5,6630,2652,2,12,2
naval_propulsion,ftt_mlp,0.011109831220690397,3.4841659819881e-08,0.009622815548292873,-5.146851436332866e-06,4.97452111366327e-06,5,6630,2652,2,12,2
naval_propulsion,xgboost,0.011109843612329244,1.70112392821295e-08,0.009622946190929288,-7.403973150665877e-06,3.0593476111264486e-06,5,6630,2652,2,12,2
naval_propulsion,cnn_mlp,0.011109909279165246,7.365857855574742e-08,0.009623116332309816,-1.837817848628909e-05,1.3433912081532664e-05,5,6630,2652,2,12,2
naval_propulsion,simple_mlp,0.011130017228424549,3.58166569910922e-05,0.009636260941624642,-0.0028078675270080565,0.004896398377660983,5,6630,2652,2,12,2
naval_propulsion,two_stage_mlp,0.011147556453943252,3.823956366992969e-05,0.00964437574148178,-0.007871901988983155,0.008588100441982865,5,6630,2652,2,12,2
naval_propulsion,prism,0.01118802409619093,4.837372722456152e-05,0.009667571634054184,-0.013299560546875,0.00872770507542078,5,6630,2652,2,12,2
